
Fold 1
Epoch 1: Loss=0.2638, Macro-F1=0.2578, Macro-AUC=0.8314836895354363
Epoch 2: Loss=0.2000, Macro-F1=0.2778, Macro-AUC=0.834673594376172
Epoch 3: Loss=0.1793, Macro-F1=0.6066, Macro-AUC=0.9315306577272049
Epoch 4: Loss=0.1628, Macro-F1=0.5263, Macro-AUC=0.9190911981162684
Epoch 5: Loss=0.1538, Macro-F1=0.6420, Macro-AUC=0.936150694175973
Epoch 6: Loss=0.1434, Macro-F1=0.6035, Macro-AUC=0.9310054667728159
Epoch 7: Loss=0.1368, Macro-F1=0.5923, Macro-AUC=0.9325909940068008
Epoch 8: Loss=0.1299, Macro-F1=0.6624, Macro-AUC=0.9406566161229956
Epoch 9: Loss=0.1241, Macro-F1=0.6499, Macro-AUC=0.941675427697495
Epoch 10: Loss=0.1214, Macro-F1=0.6856, Macro-AUC=0.9416719384881438
Epoch 11: Loss=0.1150, Macro-F1=0.6999, Macro-AUC=0.9381135215421439
Epoch 12: Loss=0.1079, Macro-F1=0.6835, Macro-AUC=0.9464461363108847
Epoch 13: Loss=0.1023, Macro-F1=0.6980, Macro-AUC=0.9400999903391648
Epoch 14: Loss=0.0990, Macro-F1=0.7016, Macro-AUC=0.9437790826730951
Epoch 15: Loss=0.0934, Macro-F1=0.6861, Macro-AUC=0.9391673851018668
Epoch 16: Loss=0.0880, Macro-F1=0.6762, Macro-AUC=0.9381920041547986
Epoch 17: Loss=0.0850, Macro-F1=0.6640, Macro-AUC=0.9276229063256718
Epoch 18: Loss=0.0812, Macro-F1=0.6975, Macro-AUC=0.9359752794713609
Epoch 19: Loss=0.0755, Macro-F1=0.6941, Macro-AUC=0.9393632284535105
Epoch 20: Loss=0.0720, Macro-F1=0.6762, Macro-AUC=0.936436241143697
Epoch 21: Loss=0.0679, Macro-F1=0.6840, Macro-AUC=0.9440102425053308
Epoch 22: Loss=0.0638, Macro-F1=0.6997, Macro-AUC=0.9385216160713973
Epoch 23: Loss=0.0617, Macro-F1=0.6909, Macro-AUC=0.9340299061113004
Epoch 24: Loss=0.0595, Macro-F1=0.6815, Macro-AUC=0.938430230376963
Epoch 25: Loss=0.0564, Macro-F1=0.6853, Macro-AUC=0.9420370947023525
Epoch 26: Loss=0.0529, Macro-F1=0.7161, Macro-AUC=0.9344892850354063
Epoch 27: Loss=0.0487, Macro-F1=0.7091, Macro-AUC=0.939909184831586
Epoch 28: Loss=0.0469, Macro-F1=0.7077, Macro-AUC=0.9392178445757874
Epoch 29: Loss=0.0462, Macro-F1=0.6947, Macro-AUC=0.9340824646459891
Epoch 30: Loss=0.0437, Macro-F1=0.7144, Macro-AUC=0.9450105773633918
Epoch 31: Loss=0.0410, Macro-F1=0.6848, Macro-AUC=0.9295409966478526
Epoch 32: Loss=0.0397, Macro-F1=0.7072, Macro-AUC=0.9348497853005158
Epoch 33: Loss=0.0404, Macro-F1=0.7130, Macro-AUC=0.9345655950776854
Epoch 34: Loss=0.0359, Macro-F1=0.7073, Macro-AUC=0.9273030342310974
Epoch 35: Loss=0.0331, Macro-F1=0.6829, Macro-AUC=0.9311473031582255
Epoch 36: Loss=0.0357, Macro-F1=0.7096, Macro-AUC=0.9305839206581439
Epoch 37: Loss=0.0329, Macro-F1=0.7113, Macro-AUC=0.9368511413952396
Epoch 38: Loss=0.0333, Macro-F1=0.7000, Macro-AUC=0.9236038025449135
Epoch 39: Loss=0.0305, Macro-F1=0.7033, Macro-AUC=0.9351414427238782
Epoch 40: Loss=0.0300, Macro-F1=0.7324, Macro-AUC=0.9442808013927595
Epoch 41: Loss=0.0297, Macro-F1=0.6976, Macro-AUC=0.9315555555608207
Epoch 42: Loss=0.0284, Macro-F1=0.7031, Macro-AUC=0.9263810873366762
Epoch 43: Loss=0.0264, Macro-F1=0.7080, Macro-AUC=0.9346285088379691
Epoch 44: Loss=0.0275, Macro-F1=0.6685, Macro-AUC=0.923067249593356
Epoch 45: Loss=0.0267, Macro-F1=0.7164, Macro-AUC=0.9331200830662117
Epoch 46: Loss=0.0261, Macro-F1=0.7202, Macro-AUC=0.9266606093770027
Epoch 47: Loss=0.0255, Macro-F1=0.7139, Macro-AUC=0.9209353396561907
Epoch 48: Loss=0.0244, Macro-F1=0.7195, Macro-AUC=0.928011711613023
Epoch 49: Loss=0.0230, Macro-F1=0.7072, Macro-AUC=0.9385993806184195
Epoch 50: Loss=0.0242, Macro-F1=0.7197, Macro-AUC=0.9374230286887058
Epoch 51: Loss=0.0237, Macro-F1=0.6938, Macro-AUC=0.9186939109308268
Epoch 52: Loss=0.0204, Macro-F1=0.7163, Macro-AUC=0.9348201649873952
Epoch 53: Loss=0.0205, Macro-F1=0.6979, Macro-AUC=0.9281820194316673
Epoch 54: Loss=0.0222, Macro-F1=0.7165, Macro-AUC=0.9349823972487654
Epoch 55: Loss=0.0213, Macro-F1=0.6875, Macro-AUC=0.9244987176114274
Epoch 56: Loss=0.0193, Macro-F1=0.7158, Macro-AUC=0.9363702846030928
Epoch 57: Loss=0.0200, Macro-F1=0.7021, Macro-AUC=0.9335443298226404
Epoch 58: Loss=0.0195, Macro-F1=0.7330, Macro-AUC=0.9355124654097645
Epoch 59: Loss=0.0188, Macro-F1=0.7268, Macro-AUC=0.930734989451277
Epoch 60: Loss=0.0194, Macro-F1=0.7169, Macro-AUC=0.9315709359662494
Epoch 61: Loss=0.0178, Macro-F1=0.6900, Macro-AUC=0.9226373976217731
Epoch 62: Loss=0.0184, Macro-F1=0.7159, Macro-AUC=0.9347934302835859
Epoch 63: Loss=0.0188, Macro-F1=0.7159, Macro-AUC=0.9299437213901874
Epoch 64: Loss=0.0189, Macro-F1=0.6968, Macro-AUC=0.9295695673431652
Epoch 65: Loss=0.0160, Macro-F1=0.7218, Macro-AUC=0.932150633101302
Epoch 66: Loss=0.0180, Macro-F1=0.6933, Macro-AUC=0.9285258392592431
Epoch 67: Loss=0.0186, Macro-F1=0.7298, Macro-AUC=0.9337983358483198
Epoch 68: Loss=0.0160, Macro-F1=0.6951, Macro-AUC=0.933317959440804
