fold,loss,macro_f1,micro_f1,macro_auc
1,0.012263707409473105,0.7059368379043585,0.7552233735349074,0.9344640382117899
2,0.01019548141909549,0.751047186983791,0.7865364492500871,0.9451297690191279
3,0.01423688431218885,0.7172264750901665,0.7367704611196189,0.922509582548419
4,0.01293898948343068,0.6822313477276303,0.7245296414625488,0.9077771718948827
5,0.011548947682631141,0.7143760486510325,0.7371159161112014,0.9142295991464204
6,0.011337434364053845,0.7650839907093311,0.7994214079074252,0.9470922378963331
7,0.011431150748583356,0.7197969966481841,0.7274026438013577,0.9176619893820429
8,0.014538826416597223,0.6838480431215065,0.7300561319952373,0.9151388259926961
9,0.012072569097116822,0.7501629986037502,0.8022429906542056,0.9308301173325224
10,0.011832959968328342,0.7564340064296089,0.7828533598146309,0.941469520209516
